Date,Close,Open,High,Low,Volume,Change
2000-01-04,1059.04,1028.33,1066.18,1016.59,195900000.0,0.0301
2000-01-05,986.31,1006.87,1026.52,984.05,257700000.0,-0.0687
2000-01-06,960.79,1013.95,1014.9,953.5,203520000.0,-0.0259
2000-01-07,948.65,949.17,970.16,930.84,215660000.0,-0.0126
2000-01-10,987.24,979.67,994.94,965.02,240180000.0,0.0407
2000-01-11,981.33,992.17,1005.87,981.23,257070000.0,-0.006
2000-01-12,955.01,957.98,976.86,949.2,227080000.0,-0.0268
2000-01-13,951.05,955.06,960.73,939.25,223000000.0,-0.0040999999999999995
2000-01-14,948.03,958.82,970.59,937.75,224960000.0,-0.0032
2000-01-17,983.27,962.67,986.09,950.75,212060000.0,0.037200000000000004
2000-01-18,981.53,992.31,992.85,967.96,212080000.0,-0.0018
2000-01-19,938.78,969.31,977.0,938.74,235730000.0,-0.0436
2000-01-20,945.9,927.12,945.9,906.26,226680000.0,0.0076
2000-01-21,925.16,928.55,942.2,911.83,255140000.0,-0.0219
2000-01-24,926.77,917.93,944.31,915.7,210410000.0,0.0017000000000000001
2000-01-25,891.22,909.12,918.48,891.22,242590000.0,-0.0384
2000-01-26,885.54,896.34,902.43,875.82,231150000.0,-0.0064
2000-01-27,909.23,888.27,912.49,879.0,344910000.0,0.0268
2000-01-28,941.67,922.74,943.95,911.12,293140000.0,0.035699999999999996
2000-01-31,943.88,924.83,948.84,922.92,289440000.0,0.0023
2000-02-01,928.75,955.44,959.31,923.52,306140000.0,-0.016
2000-02-02,943.59,929.69,950.13,923.4,310410000.0,0.016
2000-02-03,950.22,950.26,959.0,934.11,277120000.0,0.006999999999999999
2000-02-07,973.13,953.23,982.03,951.31,271760000.0,0.0241
2000-02-08,961.22,977.07,981.42,960.47,229490000.0,-0.012199999999999999
2000-02-09,976.05,967.53,979.92,959.13,240450000.0,0.0154
2000-02-10,966.18,966.36,991.71,957.73,251620000.0,-0.0101
2000-02-11,953.22,990.11,990.75,941.24,274780000.0,-0.0134
2000-02-14,910.87,932.94,941.23,907.91,234180000.0,-0.0444
2000-02-15,879.7,916.89,919.43,875.05,218600000.0,-0.0342
2000-02-16,879.5,881.03,886.63,843.58,214050000.0,-0.0002
2000-02-17,897.52,869.35,901.83,869.35,212420000.0,0.020499999999999997
2000-02-18,879.14,900.71,918.04,879.14,258279999.99999997,-0.020499999999999997
2000-02-21,845.32,864.61,871.08,843.65,213800000.0,-0.0385
2000-02-22,850.02,844.11,867.68,835.97,244390000.0,0.005600000000000001
2000-02-23,880.67,866.14,882.79,852.89,346450000.0,0.0361
2000-02-24,867.37,874.53,887.82,857.68,256690000.0,-0.0151
2000-02-25,864.76,856.06,873.08,847.14,255180000.0,-0.003
2000-02-28,819.01,850.36,856.25,819.01,253120000.0,-0.0529
2000-02-29,828.38,843.31,846.37,810.53,275730000.0,0.011399999999999999
2000-03-02,894.66,864.78,900.3,857.05,317750000.0,0.08
2000-03-03,894.83,909.81,910.02,882.48,311250000.0,0.0002
2000-03-06,909.33,907.56,913.51,899.58,352620000.0,0.016200000000000003
2000-03-07,907.34,907.01,907.85,893.09,339280000.0,-0.0022
2000-03-08,915.94,895.93,919.03,883.53,313740000.0,0.0095
