,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
1972,000650,KOSPI,천일고속,육상 여객 운송업,"고속버스운수(경부선,44개 노선),도로여객운수업,운수창고업,유류판매,부동산 임대",1977-06-23,12월,박도현,http://www.chunilexpress.com,부산광역시
1976,012600,KOSPI,청호컴넷,일반 목적용 기계 제조업,"금융단말기(현금자동입출금기,온라인단말기),통신기기 제조,판매",1990-07-10,12월,정영섭,http://www.chunghocomnet.com,서울특별시
1978,033250,KOSPI,체시스,자동차 신품 부품 제조업,"자동차부품,뒷차축 제조",1999-08-11,06월,"이명곤, 김성광(각자대표이사)",http://www.chasys.com,경상북도
1983,035720,KOSPI,카카오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷 서비스(인터넷 광고),2017-07-10,12월,"여민수, 조수용",http://www.kakaocorp.com,제주특별자치도
1986,006380,KOSPI,카프로,기초 화학물질 제조업,"카프로락탐,유안비료 제조",1974-05-28,12월,권용대,http://www.hcccapro.co.kr,서울특별시
1991,109070,KOSPI,컨버즈,"골판지, 종이 상자 및 종이용기 제조업","크라프트지,박엽지",2009-03-17,12월,곽종윤,http://www.k-paper.kr,충청남도
2001,001620,KOSPI,케이비아이동국실업,자동차 신품 부품 제조업,"자동차부품(에어닥트,글로벌박스,노즐,어셈블리류,핸들류) 제조,판매/공장 임대",1990-09-15,12월,김진산,http://www.dongkook-ind.co.kr,서울특별시
2006,029460,KOSPI,케이씨,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",가스/Chemical 공급 장치 등 제조 및 판매,1997-11-25,12월,"고석태, 양호근",http://www.kct.co.kr,경기도
2007,344820,KOSPI,케이씨씨글라스,유리 및 유리제품 제조업,판유리 등,2020-01-21,12월,김내환,http://www.kccglass.co.kr,서울특별시
2009,281820,KOSPI,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체, 디스플레이 제조 장비",2017-12-05,12월,"최동규, 임관택 (각자 대표이사)",http://www.kctech.co.kr,경기도
2020,145270,KOSPI,케이탑리츠,부동산 임대 및 공급업,부동산 임대,2012-01-31,12월,이명식,http://www.ktopreits.co.kr,서울특별시
2039,357120,KOSPI,코람코에너지리츠,부동산 임대 및 공급업,부동산 투자 및 관리,2020-08-31,11월,이성균,http://www.koramco.co.kr,서울특별시
2044,007815,KOSPI,코리아써우,,,,,,,
2045,007810,KOSPI,코리아써키트,전자부품 제조업,"인쇄회로기판,Module 제조/부동산(건물) 임대",1985-09-09,12월,장세준,http://www.kcg.co.kr,경기도
2046,00781K,KOSPI,코리아써키트2우B,,,,,,,
2050,152330,KOSPI,코리아오토글라스,유리 및 유리제품 제조업,자동차 안전 유리,2015-12-29,12월,우종철,http://kac.kccworld.co.kr,세종특별자치시
2051,003690,KOSPI,코리안리,재 보험업,금융보험/부동산 임대,1969-12-22,12월,원종규,http://www.koreanre.co.kr,서울특별시
2060,192820,KOSPI,코스맥스,기타 화학제품 제조업,화장품,2014-04-07,12월,"최 경, 이병만",http://www.cosmax.com,경기도
2061,044820,KOSPI,코스맥스비티아이,기타 금융업,"화장품,의약부외품 제조,도매",2006-11-13,12월,"이완경, 이병주",http://www.cosmax.com,경기도
2064,005070,KOSPI,코스모신소재,기타 화학제품 제조업,"이차전지양극활물질,기능성필름",1987-09-28,12월,홍동환,http://www.cosmoamt.com,충청북도
2065,005420,KOSPI,코스모화학,기타 화학제품 제조업,"이산화티타늄 및 부산물, 황산코발트 및 부산물",1987-07-23,12월,함재경,http://www.cosmochem.co.kr,서울특별시
