,업종,종목코드,종목명,코스닥여부
141,기타,266170,뿌리깊은나무들,N
142,기타,169950,KODEX 중국본토 A50,N
143,기타,304940,KODEX 미국나스닥100선물(H),N
144,기타,354350,HANARO 글로벌럭셔리S&P(합성),N
145,기타,143860,TIGER 헬스케어,N
146,기타,140610,엔솔바이오사이언스,N
147,기타,266420,KODEX 헬스케어,N
148,기타,266870,파워풀엑스,N
149,기타,292500,SMART KRX300,N
150,기타,590007,미래에셋 미국 대형주 ETN(H),N
151,기타,269540,ARIRANG 미국S&P500(H),N
152,기타,143850,TIGER 미국S&P500선물(H),N
153,기타,309210,ARIRANG KRX300헬스케어,N
154,기타,550041,QV 미국 IT TOP5 ETN(H),N
155,기타,510005,대신 2X 아연선물 ETN(H),N
156,기타,253280,KBSTAR 헬스케어,N
157,기타,291890,KODEX MSCI EM선물(H),N
158,기타,244580,KODEX 바이오,N
159,기타,314700,HANARO 농업융복합산업,N
160,기타,216400,바이오코아,N
161,기타,276000,TIGER 글로벌자원생산기업(합성 H),N
162,기타,570026,TRUE 레버리지 유로스탁스50 ETN(H),N
163,기타,284990,KBSTAR 200에너지화학,N
164,기타,133690,TIGER 미국나스닥100,N
165,기타,195920,TIGER 일본TOPIX(합성 H),N
166,기타,195980,ARIRANG 신흥국MSCI(합성 H),N
167,기타,328370,ARIRANG 코스피TR,N
168,기타,352560,KODEX 다우존스미국리츠(H),N
169,기타,219480,KODEX 미국S&P500선물(H),N
170,기타,314250,KODEX 미국FANG플러스(H),N
171,기타,500009,신한 다우존스지수 선물 ETN(H),N
172,기타,287180,ARIRANG 미국나스닥기술주,N
173,기타,138530,TIGER LG그룹+펀더멘털,N
174,기타,245350,TIGER 유로스탁스배당30,N
175,기타,300290,KBSTAR 중소형모멘텀밸류,N
176,기타,337840,유엑스엔,N
177,기타,248270,TIGER S&P글로벌헬스케어(합성),N
178,기타,277540,KINDEX S&P아시아TOP50,N
179,기타,310080,KBSTAR 중국MSCI China선물(H),N
180,기타,500016,신한 금 선물 ETN(H),N
181,기타,137610,TIGER 농산물선물Enhanced(H),N
182,기타,360200,KINDEX 미국S&P500,N
183,기타,530013,삼성 KTOP30 ETN,N
184,기타,232830,시큐센,N
185,기타,138920,KODEX 콩선물(H),N
186,기타,157490,TIGER 소프트웨어,N
187,기타,360750,TIGER 미국S&P500,N
188,기타,152500,KINDEX 레버리지,N
189,기타,218420,KODEX 미국S&P에너지(합성),N
190,기타,291130,KINDEX 멕시코MSCI(합성),N
191,기타,331910,KOSEF Fn중소형,N
192,기타,132030,KODEX 골드선물(H),N
193,기타,590018,미래에셋 중국 심천 100 ETN,N
194,기타,261070,TIGER 코스닥150바이오테크,N
195,기타,304780,HANARO 200선물레버리지,N
196,기타,319640,TIGER 골드선물(H),N
197,기타,200030,KODEX 미국S&P산업재(합성),N
198,기타,285000,KBSTAR 200IT,N
199,기타,500023,신한 콩 선물 ETN(H),N
200,기타,570051,TRUE 나스닥 100 ETN,N
201,기타,275280,KODEX MSCI모멘텀,N
202,기타,123320,TIGER 레버리지,N
203,기타,305050,KINDEX 코스피,N
204,기타,580012,KB KRX300 ETN,N
205,기타,267770,TIGER 200선물레버리지,N
206,기타,117460,KODEX 에너지화학,N
207,기타,253150,ARIRANG 200선물레버리지,N
208,기타,122630,KODEX 레버리지,N
209,기타,096300,베트남개발1,N
210,기타,220130,SMART 중국본토 중소형 CSI500(합성 H),N
211,기타,300640,KBSTAR 게임테마,N
212,기타,300280,KBSTAR 중소형모멘텀로우볼,N
213,기타,305540,TIGER 2차전지테마,N
214,기타,307510,TIGER 의료기기,N
215,기타,361590,KBSTAR 코스피ex200,N
216,기타,253250,KOSEF 200선물레버리지,N
217,기타,322400,HANARO e커머스,N
218,기타,252400,KBSTAR 200선물레버리지,N
219,기타,306950,KODEX KRX300레버리지,N
220,기타,307010,KBSTAR KRX300레버리지,N
221,기타,192090,TIGER 차이나CSI300,N
222,기타,244620,KODEX 모멘텀Plus,N
223,기타,269420,KODEX S&P글로벌인프라(합성),N
224,기타,329020,오션스톤,N
225,기타,204450,KODEX China H 레버리지(H),N
226,기타,225050,TIGER 유로스탁스레버리지(합성 H),N
227,기타,305720,KODEX 2차전지산업,N
228,기타,306530,HANARO 코스닥150선물레버리지,N
229,기타,326240,KBSTAR IT플러스,N
230,기타,580011,KB FnGuide 언택트 ETN,N
231,기타,363580,KODEX 200IT TR,N
232,기타,292140,TIGER 중소형가치,N
233,기타,140700,KODEX 보험,N
234,기타,276990,KODEX 글로벌4차산업로보틱스(합성),N
235,기타,530009,삼성 증권 테마주 ETN,N
236,기타,245340,TIGER 미국다우존스30,N
237,기타,261140,TIGER 우선주,N
238,기타,275290,KODEX MSCI밸류,N
239,기타,292050,KBSTAR KRX300,N
240,기타,315480,KBSTAR 200커뮤니케이션서비스,N
241,기타,258050,테크트랜스,N
242,기타,333960,ARIRANG KS모멘텀가중TR,N
243,기타,354500,KINDEX 코스닥150,N
244,기타,238720,KINDEX 일본Nikkei225(H),N
245,기타,252730,KBSTAR 모멘텀로우볼,N
246,기타,289250,TIGER MSCI KOREA ESG유니버설,N
247,기타,182480,TIGER 미국MSCI리츠(합성 H),N
248,기타,326230,KBSTAR 내수주플러스,N
249,기타,332940,HANARO MSCI Korea TR,N
250,기타,271060,KODEX 3대농산물선물(H),N
251,기타,276970,KODEX 미국S&P고배당커버드콜(합성 H),N
252,기타,289480,TIGER 200커버드콜ATM,N
253,기타,091160,KODEX 반도체,N
254,기타,108450,KINDEX 삼성그룹섹터가중,N
255,기타,233740,KODEX 코스닥150 레버리지,N
256,기타,278240,KBSTAR 코스닥150선물레버리지,N
257,기타,278530,KODEX 200TR,N
258,기타,280920,ARIRANG 주도업종,N
259,기타,307520,TIGER 지주회사,N
260,기타,100910,KOSEF KRX100,N
261,기타,139250,TIGER 200 에너지화학,N
262,기타,364690,KODEX 혁신기술테마액티브,N
263,기타,365040,TIGER AI코리아그로스액티브,N
264,기타,143460,KINDEX 밸류대형,N
265,기타,277640,TIGER 코스피대형주,N
266,기타,292190,KODEX KRX300,N
267,기타,361580,KBSTAR 200TR,N
268,기타,156080,KODEX MSCI Korea,N
269,기타,266360,KODEX 미디어&엔터테인먼트,N
270,기타,322150,KINDEX 스마트하이베타,N
271,기타,325010,KODEX Fn성장,N
272,기타,091230,TIGER 반도체,N
273,기타,290130,KBSTAR ESG사회책임투자,N
274,기타,337120,KODEX Fn멀티팩터,N
275,기타,530005,삼성 바이오 테마주 ETN,N
276,기타,176950,KODEX 국채선물10년인버스,N
277,기타,219900,KINDEX 중국본토CSI300레버리지(합성),N
