2020-11-08 00:13:25 : 진행 시간 - 03:49 | 0.0 테스트 끝  
2020-11-08 00:13:25 : 진행 시간 - 03:49 | 0.0 테스트 끝  
2020-11-08 00:13:25 : 진행 시간 - 03:49 | 테스트 끝  
2020-11-08 00:13:25 : 진행 시간 - 03:49 | 테스트 끝  
2020-11-08 00:13:25 : 진행 시간 - 03:49 | 테스트 끝  
2020-11-08 00:13:25 : 진행 시간 - 03:49 | 테스트 끝  
2020-11-08 00:13:25 : 진행 시간 - 03:49 | 테스트 끝  
2020-11-08 00:13:25 : 진행 시간 - 03:49 | 테스트 끝  
2020-11-08 00:13:25 : 진행 시간 - 03:49 | 테스트 끝  
2020-11-08 00:13:25 : 진행 시간 - 03:49 | 테스트 끝  
2020-11-08 00:13:25 : 진행 시간 - 03:49 | 테스트 끝  
2020-11-08 00:18:42 : 진행 시간 - 00:00 | 테스트 데이터 분리  
2020-11-08 00:18:46 : 진행 시간 - 00:03 | 테스트 시작  
2020-11-08 00:18:46 : 진행 시간 - 00:03 | 테스트 시작  
2020-11-08 00:19:30 : 진행 시간 - 00:47 | 0.0 테스트 끝  
2020-11-08 00:19:30 : 진행 시간 - 00:47 | 0.0 테스트 끝  
2020-11-08 00:19:30 : 진행 시간 - 00:47 | 0.0 테스트 끝  
2020-11-08 00:22:18 : 진행 시간 - 00:16 | 학습 시작  
2020-11-08 00:24:47 : 진행 시간 - 02:45 | 58.4705  
2020-11-08 00:24:47 : 진행 시간 - 02:45 | 58.4705  
2020-11-08 00:24:47 : 진행 시간 - 02:45 | 다음 데이터가 없습니다. 0번째 에피소드가 끝났습니다.  
2020-11-08 00:24:47 : 진행 시간 - 02:45 | 다음 데이터가 없습니다. 0번째 에피소드가 끝났습니다.  
2020-11-08 00:24:47 : 진행 시간 - 02:45 | 다음 데이터가 없습니다. 0번째 에피소드가 끝났습니다.  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 학습 끝  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 학습 끝  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 학습 끝  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 학습 끝  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 테스트 시작  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 테스트 시작  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 테스트 시작  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 테스트 시작  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 테스트 시작  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 테스트 데이터 분리  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 테스트 데이터 분리  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 테스트 데이터 분리  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 테스트 데이터 분리  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 테스트 데이터 분리  
2020-11-08 00:24:48 : 진행 시간 - 02:45 | 테스트 데이터 분리  
2020-11-08 00:25:05 : 진행 시간 - 03:02 | 테스트 시작  
2020-11-08 00:25:05 : 진행 시간 - 03:02 | 테스트 시작  
2020-11-08 00:25:05 : 진행 시간 - 03:02 | 테스트 시작  
2020-11-08 00:25:05 : 진행 시간 - 03:02 | 테스트 시작  
2020-11-08 00:25:05 : 진행 시간 - 03:02 | 테스트 시작  
2020-11-08 00:25:05 : 진행 시간 - 03:02 | 테스트 시작  
2020-11-08 00:25:05 : 진행 시간 - 03:02 | 테스트 시작  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 0.0 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 0.0 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 0.0 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 0.0 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 0.0 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 0.0 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 0.0 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 0.0 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 테스트 끝  
2020-11-08 00:25:50 : 진행 시간 - 03:47 | 테스트 끝  
2020-11-08 00:28:37 : 진행 시간 - 00:00 | 테스트 데이터 분리  
2020-11-08 00:28:39 : 진행 시간 - 00:02 | 테스트 시작  
2020-11-08 00:28:39 : 진행 시간 - 00:02 | 테스트 시작  
2020-11-08 00:29:26 : 진행 시간 - 00:48 | 0.0 테스트 끝  
2020-11-08 00:29:26 : 진행 시간 - 00:48 | 0.0 테스트 끝  
2020-11-08 00:29:26 : 진행 시간 - 00:48 | 0.0 테스트 끝  
2020-11-08 00:30:07 : 진행 시간 - 00:00 | 테스트 데이터 분리  
2020-11-08 00:30:10 : 진행 시간 - 00:03 | 테스트 시작  
2020-11-08 00:30:10 : 진행 시간 - 00:03 | 테스트 시작  
