data_code,thema_name,stock_code,stock_name,stock_current_print
332,스마트기기 부품,A106080,하이소닉,3330
332,스마트기기 부품,A108320,실리콘웍스,44950
334,컨텐츠,A035900,JYP Ent.,38250
334,컨텐츠,A036030,KTH,5140
334,컨텐츠,A036260,이매진아시아,2220
334,컨텐츠,A036420,제이콘텐트리,25550
334,컨텐츠,A036570,엔씨소프트,806000
334,컨텐츠,A040300,YTN,3350
334,컨텐츠,A041510,에스엠,35800
334,컨텐츠,A043610,지니뮤직,4700
334,컨텐츠,A046140,SBS콘텐츠허브,6250
334,컨텐츠,A048910,대원미디어,6820
334,컨텐츠,A052220,iMBC,2645
334,컨텐츠,A053110,소리바다,339
334,컨텐츠,A063080,게임빌,35100
334,컨텐츠,A078340,컴투스,114600
334,컨텐츠,A095660,네오위즈,25700
334,컨텐츠,A104200,NHN벅스,4625
334,컨텐츠,A122870,와이지엔터테인먼트,58000
343,고배당주(중간 배당),A002380,KCC,146000
343,고배당주(중간 배당),A002390,한독,31900
343,고배당주(중간 배당),A002960,한국쉘석유,236000
343,고배당주(중간 배당),A010950,S-Oil,51600
343,고배당주(중간 배당),A014190,원익큐브,1590
343,고배당주(중간 배당),A017670,SK텔레콤,238000
343,고배당주(중간 배당),A019680,대교,3900
343,고배당주(중간 배당),A039130,하나투어,39200
343,고배당주(중간 배당),A049070,인탑스,17000
343,고배당주(중간 배당),A067080,대화제약,15200
343,고배당주(중간 배당),A086790,하나금융지주,28100
343,고배당주(중간 배당),A086960,한컴MDS,11700
343,고배당주(중간 배당),A092230,KPX홀딩스,44000
342,환율 위안/달러 하락(위안강세),A001800,오리온홀딩스,12150
342,환율 위안/달러 하락(위안강세),A003490,대한항공,18850
342,환율 위안/달러 하락(위안강세),A004020,현대제철,24600
342,환율 위안/달러 하락(위안강세),A005380,현대차,178500
342,환율 위안/달러 하락(위안강세),A005490,POSCO,196000
342,환율 위안/달러 하락(위안강세),A005930,삼성전자,58200
342,환율 위안/달러 하락(위안강세),A009150,삼성전기,139000
342,환율 위안/달러 하락(위안강세),A009540,한국조선해양,82700
342,환율 위안/달러 하락(위안강세),A010620,현대미포조선,29700
342,환율 위안/달러 하락(위안강세),A011170,롯데케미칼,196500
342,환율 위안/달러 하락(위안강세),A020560,아시아나항공,3920
342,환율 위안/달러 하락(위안강세),A023530,롯데쇼핑,78500
342,환율 위안/달러 하락(위안강세),A034220,LG디스플레이,15350
342,환율 위안/달러 하락(위안강세),A034230,파라다이스,13750
342,환율 위안/달러 하락(위안강세),A035760,CJ ENM,142300
342,환율 위안/달러 하락(위안강세),A039130,하나투어,39200
342,환율 위안/달러 하락(위안강세),A042670,두산인프라코어,8770
342,환율 위안/달러 하락(위안강세),A080160,모두투어,12450
342,환율 위안/달러 하락(위안강세),A095660,네오위즈,25700
342,환율 위안/달러 하락(위안강세),A112040,위메이드,37300
342,환율 위안/달러 하락(위안강세),A114090,GKL,12400
341,환율 달러/유로 상승(유로강세),A000270,기아차,46900
341,환율 달러/유로 상승(유로강세),A000660,SK하이닉스,84000
341,환율 달러/유로 상승(유로강세),A002020,코오롱,21000
341,환율 달러/유로 상승(유로강세),A002350,넥센타이어,5350
341,환율 달러/유로 상승(유로강세),A004130,,0
341,환율 달러/유로 상승(유로강세),A005380,현대차,178500
341,환율 달러/유로 상승(유로강세),A005680,삼영전자,8040
341,환율 달러/유로 상승(유로강세),A005930,삼성전자,58200
341,환율 달러/유로 상승(유로강세),A005950,이수화학,8670
341,환율 달러/유로 상승(유로강세),A006040,동원산업,209000
341,환율 달러/유로 상승(유로강세),A006380,카프로,2495
341,환율 달러/유로 상승(유로강세),A006570,대림통상,4145
341,환율 달러/유로 상승(유로강세),A007690,국도화학,44300
341,환율 달러/유로 상승(유로강세),A007980,태평양물산,1700
341,환율 달러/유로 상승(유로강세),A008060,대덕,6160
341,환율 달러/유로 상승(유로강세),A009150,삼성전기,139000
341,환율 달러/유로 상승(유로강세),A009270,신원,1435
341,환율 달러/유로 상승(유로강세),A009540,한국조선해양,82700
